Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Status,Effective Month,Effective Year,Current Month,Current Year,Associated with Combined Heat and Power System,Sector Name,Sector,Previously Canceled,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Turbines or Hydrokinetic Buoys,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Solid Fuel Gasification System?,Carbon Capture Technology?,Multiple Fuels?,Switch Between Oil and Natural Gas?,Cofire Fuels?
60584,Onyx Asset Services Group,61863,Duanesburg,NY,Montgomery,10048,Solar Photovoltaic,PV,,W,X,X,,,2.0, ,2.0,2.0,T,4,2018,4,2018,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61485,"Rio Bravo Windpower, LLC",61865,"Rio Bravo Windpower, LLC",TX,Starr,1,Onshore Wind Turbine,WT,,S,X,X,,,237.6, ,237.6,237.6,P,6,2019,6,2019,N,IPP Non-CHP,2,N,WND,,,,,,66,,,,,,,,,,,,
17650,Southern Power Co,61866,Wildhorse Mountain Wind Facility,OK,Pushmataha,1,Onshore Wind Turbine,WT,,S,X,X,,,100.0, ,100.0,100.0,P,12,2019,12,2019,N,IPP Non-CHP,2,N,WND,,,,,,29,,,,,,,,,,,,
61060,Cypress Creek Renewables,61867,Bovine,TX,Austin,GEN1,Solar Photovoltaic,PV,,S,X,X,,,10.0, ,10.0,10.0,L,10,2018,11,2018,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61060,Cypress Creek Renewables,61868,Bronson,TX,Fort Bend,GEN1,Solar Photovoltaic,PV,,S,X,X,,,10.0, ,10.0,10.0,L,10,2018,11,2018,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61487,Montevideo Solar LLC,61870,Montevideo Solar LLC,MN,Yellow Medicine,MONTE,Solar Photovoltaic,PV,,S,X,X,,,5.0, ,5.0,5.0,T,9,2018,9,2018,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61060,Cypress Creek Renewables,61871,Sterling Solar (TX),TX,Hunt,GEN1,Solar Photovoltaic,PV,,S,X,X,,,10.0, ,10.0,10.0,L,9,2018,9,2018,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61060,Cypress Creek Renewables,61872,Lampwick,TX,Menard,GEN1,Solar Photovoltaic,PV,,S,X,X,,,7.5, ,7.5,7.5,L,12,2018,4,2019,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61060,Cypress Creek Renewables,61873,Yellow Jacket,TX,Bosque,GEN1,Solar Photovoltaic,PV,,S,X,X,,,5.0, ,5.0,5.0,L,10,2018,10,2018,N,IPP Non-CHP,2,,SUN,,,,,, ,,,,,,,,,,,,
61060,Cypress Creek Renewables,61874,Eddy II,TX,McLennan,GEN1,Solar Photovoltaic,PV,,S,X,X,,,10.0, ,10.0,10.0,L,10,2018,10,2018,N,IPP Non-CHP,2,,SUN,,,,,, ,,,,,,,,,,,,
