Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Status,Effective Month,Effective Year,Current Month,Current Year,Associated with Combined Heat and Power System,Sector Name,Sector,Previously Canceled,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Turbines or Hydrokinetic Buoys,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Solid Fuel Gasification System?,Carbon Capture Technology?,Multiple Fuels?,Switch Between Oil and Natural Gas?,Cofire Fuels?
58658,Sunlight Partners,60160,Tate Solar,NC,Nash,PV1,Solar Photovoltaic,PV,,S,X,X,,,5.0, ,5.0,5.0,L,11,2016,3,2020,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
58658,Sunlight Partners,60161,Eagle Solar,NC,Warren,PV1,Solar Photovoltaic,PV,,S,X,X,,,4.0, ,4.0,4.0,L,12,2016,3,2020,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
58658,Sunlight Partners,60165,Robin Solar,NC,Wayne,PV1,Solar Photovoltaic,PV,,S,X,X,,,5.0, ,5.0,5.0,L,12,2016,12,2019,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
58658,Sunlight Partners,60166,Higgins Solar,NC,Nash,PV1,Solar Photovoltaic,PV,,S,X,X,,,5.0, ,5.0,5.0,L,12,2016,3,2020,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
58658,Sunlight Partners,60170,Iga Solar,NC,Franklin,PV1,Solar Photovoltaic,PV,,S,X,X,,,5.0, ,5.0,5.0,L,11,2016,3,2020,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
58658,Sunlight Partners,60177,Blue Bird Solar,NC,Vance,PV1,Solar Photovoltaic,PV,,S,X,X,,,4.0, ,4.0,4.0,L,11,2016,3,2020,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
58658,Sunlight Partners,60178,Cash Solar,NC,Nash,PV1,Solar Photovoltaic,PV,,S,X,X,,,5.0, ,5.0,5.0,L,11,2016,11,2019,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61060,Cypress Creek Renewables,60181,Grove Solar,NC,Craven,PV1,Solar Photovoltaic,PV,,S,X,X,,,5.0, ,5.0,5.0,L,11,2016,1,2020,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
59967,Phoenix Energy,60192,North Fork Community Power,CA,Madera,NFCP1,Other Waste Biomass,IC,,S,X,X,,,2.0,1.000,2.0,2.0,U,1,2017,12,2020,Y,IPP CHP,3,N,OBG,,,,,,2,,,,,,,,Y,Y,N,N,N
59964,ESC Brooke County Power I,60202,ESC Brooke County Power I,WV,Brooke,BCCA1,Natural Gas Fired Combined Cycle,CA,,S,N,X,,,280.5,0.850,261.2,267.6,P,6,2020,6,2021,N,IPP Non-CHP,2,,NG,,,,,, ,,,,,N,N,N,N,N,N,N,N
59964,ESC Brooke County Power I,60202,ESC Brooke County Power I,WV,Brooke,BCCT1,Natural Gas Fired Combined Cycle,CT,,S,X,N,,,280.5,0.850,252.3,278.7,P,6,2020,6,2021,N,IPP Non-CHP,2,,NG,,,,,, ,,,,,,N,,N,N,N,N,N
59964,ESC Brooke County Power I,60202,ESC Brooke County Power I,WV,Brooke,BCCT2,Natural Gas Fired Combined Cycle,CT,,S,X,N,,,280.5,0.850,252.3,278.7,P,6,2020,6,2021,N,IPP Non-CHP,2,,NG,,,,,, ,,,,,,,,,,N,N,N
59965,ESC Tioga County Power,60205,ESC Tioga County Power,PA,Tioga,TCCA1,Natural Gas Fired Combined Cycle,CA,,S,Y,X,,,331.5,0.850,302.0,327.2,P,6,2020,6,2021,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,N,N
59965,ESC Tioga County Power,60205,ESC Tioga County Power,PA,Tioga,TCCT1,Natural Gas Fired Combined Cycle,CT,,S,X,N,,,280.5,0.850,253.1,279.6,P,6,2020,6,2021,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,N,N
59965,ESC Tioga County Power,60205,ESC Tioga County Power,PA,Tioga,TCCT2,Natural Gas Fired Combined Cycle,CT,,S,X,N,,,280.5,0.850,253.1,279.6,P,6,2020,6,2021,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,N,N,N,N,N
59966,ESC Harrison County Power,60206,ESC Harrison County Power,WV,Harrison,HCCA1,Natural Gas Fired Combined Cycle,CA,,S,Y,X,,,207.4,0.850,205.4,209.0,P,6,2021,6,2021,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,N,N,N,N,N
59966,ESC Harrison County Power,60206,ESC Harrison County Power,WV,Harrison,HCCT1,Natural Gas Fired Combined Cycle,CT,,S,X,N,,,371.5,0.850,319.1,343.3,P,6,2021,6,2021,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,N,N
61853,Innogy Renewables US LLC,60212,Mason Dixon Wind Farm,PA,Somerset,1,Onshore Wind Turbine,WT,,S,X,X,,,79.9, ,79.9,79.9,L,10,2010,12,2020,N,IPP Non-CHP,2,N,WND,,,,,,25,,,,,,,,,,,,
60002,"Halyard Energy Wharton, LLC",60221,Halyard Wharton Energy Center,TX,Wharton,TBN1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,177.0,0.850,162.0,177.0,P,6,2017,6,2021,N,IPP Non-CHP,2,,NG,,,,,, ,,,,,,,,,,N,N,N
60002,"Halyard Energy Wharton, LLC",60221,Halyard Wharton Energy Center,TX,Wharton,TBN2,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,177.0,0.850,162.0,177.0,P,6,2017,6,2021,N,IPP Non-CHP,2,,NG,,,,,, ,,,,,,,,,,N,N,N
60947,Tesla Inc.,60230,Estrella Mountain PV,AZ,Maricopa,PV1,Solar Photovoltaic,PV,,W,X,X,,,1.8, ,1.8,1.8,TS,5,2016,6,2019,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
60050,"Halyard Energy Henderson, LLC",60268,Halyard Henderson Energy Center,TX,Henderson,TBN1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,232.0,0.850,210.0,232.0,P,6,2018,6,2021,N,IPP Non-CHP,2,,NG,,,,,, ,,,,,,,,,,N,,
60050,"Halyard Energy Henderson, LLC",60268,Halyard Henderson Energy Center,TX,Henderson,TBN2,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,232.0,0.850,210.0,232.0,T,6,2018,6,2021,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,,
59056,"Tri Global Energy, LLC",60271,"Canyon Wind Project, LLC",TX,Scurry,WT1,Onshore Wind Turbine,WT,,S,X,X,,,360.0, ,360.0,360.0,P,9,2019,10,2020,N,IPP Non-CHP,2,N,WND,,,,,,144,,,,,,,,,,,,
59056,"Tri Global Energy, LLC",60272,"Cone Renewable Energy Project, LLC",TX,Crosby,WT1,Onshore Wind Turbine,WT,,S,X,X,,,300.0, ,300.0,300.0,P,3,2020,12,2020,N,IPP Non-CHP,2,N,WND,,,,,,150,,,,,,,,,,,,
59056,"Tri Global Energy, LLC",60273,"Crosby County Wind Farm, LLC",TX,Crosby,WT1,Onshore Wind Turbine,WT,,S,X,X,,,120.0, ,120.0,120.0,P,3,2020,12,2020,N,IPP Non-CHP,2,N,WND,,,,,,60,,,,,,,,,,,,
61060,Cypress Creek Renewables,60287,Willard Solar,NC,Pender,PV1,Solar Photovoltaic,PV,,S,X,X,,,5.0, ,4.9,4.9,P,12,2017,4,2020,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
